title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
My Way (feat. Monty),Fetty Wap,new jersey rap,2015,2020‑06‑19,128,74,75,-3,15,54,213,0,5,71,2015,Solo
In The Night,The Weeknd,canadian contemporary r&b,2015,2020‑06‑19,168,68,51,-5,5,54,236,8,7,76,2015,Solo
Renegades,X Ambassadors,modern alternative rock,2015,2020‑06‑19,90,86,53,-6,23,53,195,1,9,80,2015,Band/Group
Electric Love,BØRNS,modern rock,2015,2020‑06‑19,120,80,61,-8,26,52,218,1,5,86,2015,Solo
Five More Hours,Deorro,dance pop,2017,2020‑06‑19,128,88,70,-3,82,50,212,3,22,74,2015,Solo
Intoxicated - Radio Edit,Martin Solveig,dance pop,2015,2020‑06‑19,125,69,79,-4,10,50,160,0,4,62,2015,Solo
King Kunta,Kendrick Lamar,conscious hip hop,2015,2020‑06‑19,107,66,88,-5,15,49,235,1,10,79,2015,Solo
Stole the Show,Kygo,edm,2016,2020‑06‑19,100,64,64,-8,32,48,223,27,23,78,2015,Solo
Lay It All on Me (feat. Ed Sheeran),Rudimental,dance pop,2015,2020‑06‑19,123,75,67,-7,19,48,242,14,4,55,2015,Band/Group
Like I Can,Sam Smith,dance pop,2014,2020‑06‑19,100,63,66,-7,12,48,167,34,4,85,2015,Solo
Hands To Myself,Selena Gomez,dance pop,2015,2020‑06‑19,111,50,81,-7,34,47,201,1,12,68,2015,Solo
Wildest Dreams,Taylor Swift,pop,2014,2020‑06‑19,140,67,55,-7,11,47,220,7,7,76,2015,Solo
Geronimo,Sheppard,australian indie,2015,2020‑06‑22,142,78,71,-6,12,46,218,46,8,68,2015,Band/Group
Style,Taylor Swift,pop,2014,2020‑06‑19,95,79,60,-6,12,46,231,0,4,75,2015,Solo
I Don't Mind (feat. Juicy J),Usher,atl hip hop,2014,2020‑06‑19,113,46,87,-8,9,46,252,21,18,73,2015,Solo
Take Me to Church,Hozier,irish singer-songwriter,2014,2020‑06‑19,129,66,57,-5,12,44,242,63,5,80,2015,Solo
Same Old Love,Selena Gomez,dance pop,2015,2020‑06‑22,98,59,67,-4,21,44,229,2,3,70,2015,Solo
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2014,2020‑06‑19,120,38,66,-6,10,43,252,39,3,81,2015,Solo
King,Years & Years,dance pop,2015,2020‑06‑19,120,86,56,-4,38,43,215,6,4,66,2015,Band/Group
Outside (feat. Ellie Goulding),Calvin Harris,dance pop,2014,2020‑06‑19,128,82,65,-4,32,42,227,21,4,82,2015,Solo
Believe,Mumford & Sons,modern folk rock,2015,2020‑06‑19,114,62,36,-7,22,42,221,3,4,61,2015,Band/Group
Wish You Were Mine - Radio Edit,Philip George,deep groove house,2014,2020‑06‑19,123,83,65,-4,10,41,178,1,3,70,2015,Solo
I Don't Fuck With You,Big Sean,detroit hip hop,2015,2020‑06‑19,98,73,82,-5,33,40,284,4,6,80,2015,Solo
Perfect,One Direction,boy band,2015,2020‑06‑19,100,82,65,-5,12,40,230,6,8,81,2015,Band/Group
Bitch Better Have My Money,Rihanna,barbadian pop,2015,2020‑06‑19,103,73,78,-5,26,40,219,5,6,78,2015,Solo
Die A Happy Man,Thomas Rhett,contemporary country,2015,2020‑06‑19,166,39,60,-9,12,40,227,42,3,77,2015,Solo
Runaway (U & I),Galantis,dance pop,2015,2020‑06‑19,126,81,51,-4,9,38,227,1,5,79,2015,Duo
Drive,Oh Wonder,electropop,2015,2021‑08‑09,142,46,66,-8,8,38,196,71,10,65,2015,Duo
I Want You To Know,Zedd,complextro,2015,2020‑06‑19,130,85,58,-3,14,37,240,1,6,70,2015,Solo
Closer,Lemaitre,alternative dance,2017,2021‑08‑09,92,79,58,-4,12,36,271,0,3,64,2015,Duo
Nothing Left (feat. Will Heard),Kygo,edm,2015,2020‑06‑19,154,58,68,-7,37,35,237,26,4,59,2015,Solo
FourFiveSeconds,Rihanna,barbadian pop,2015,2020‑06‑19,206,27,58,-6,13,35,188,88,5,82,2015,Solo
How Deep Is Your Love,Calvin Harris,dance pop,2015,2020‑06‑19,122,87,74,-4,39,34,213,4,7,80,2015,Solo
Cool for the Summer,Demi Lovato,dance pop,2015,2020‑06‑19,114,61,58,-6,14,34,215,0,4,78,2015,Solo
Confident,Demi Lovato,dance pop,2015,2020‑06‑19,130,75,59,-6,9,34,206,0,7,69,2015,Solo
Way down We Go,KALEO,icelandic indie,2016,2021‑08‑09,163,51,49,-8,10,34,214,58,12,81,2015,Band/Group
Here,Alessia Cara,canadian contemporary r&b,2015,2020‑06‑22,120,82,38,-4,8,33,199,8,10,71,2015,Solo
Love Myself,Hailee Steinfeld,dance pop,2016,2020‑06‑19,123,76,62,-7,42,32,219,0,7,75,2015,Solo
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2015,2020‑06‑19,186,66,34,-6,6,29,199,17,10,60,2015,Solo
Slow Motion,Trey Songz,dance pop,2015,2020‑06‑19,95,41,73,-8,11,29,198,68,4,75,2015,Solo
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,2020‑06‑19,190,61,26,-7,13,28,253,25,5,83,2015,Solo
See You Again (feat. Charlie Puth),Wiz Khalifa,dance pop,2015,2020‑06‑19,80,48,69,-8,6,28,230,37,8,85,2015,Solo
Ghost Town,Adam Lambert,dance pop,2015,2020‑06‑22,120,74,70,-6,17,27,208,19,5,69,2015,Solo
Lean On,Major Lazer,dance pop,2015,2020‑06‑19,98,81,72,-3,56,27,177,0,6,76,2015,Trio
You Know You Like It,DJ Snake,dance pop,2014,2020‑06‑19,196,73,41,-5,31,25,247,1,19,74,2015,Solo
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,2015,2020‑06‑19,78,66,59,-5,12,25,224,2,20,73,2015,Solo
Love Me Harder,Ariana Grande,dance pop,2014,2020‑06‑19,99,71,47,-4,8,24,236,1,3,79,2015,Solo
Sunset Lover,Petit Biscuit,new french touch,2015,2020‑06‑19,91,47,78,-9,11,24,238,73,5,75,2015,Solo
No Type,Rae Sremmurd,hip hop,2015,2020‑06‑19,125,49,89,-8,9,24,200,2,16,77,2015,Duo
Na Na,Trey Songz,dance pop,2015,2020‑06‑19,97,48,67,-6,10,24,232,33,4,67,2015,Solo
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,2020‑06‑19,108,43,89,-10,9,23,177,3,14,81,2015,Solo
Bad Blood,Taylor Swift,pop,2015,2020‑06‑19,170,66,65,-7,14,22,200,3,11,75,2015,Solo
Good For You,Selena Gomez,dance pop,2015,2020‑06‑22,89,68,61,-6,9,21,222,18,5,62,2015,Solo
Where Are Ü Now (with Justin Bieber),Jack Ü,edm,2015,2020‑06‑19,139,78,43,-4,8,20,250,4,6,78,2015,Duo
Unsteady,X Ambassadors,modern alternative rock,2015,2020‑06‑19,117,67,39,-6,12,20,194,18,6,78,2015,Band/Group
Don't,Bryson Tiller,kentucky hip hop,2015,2020‑06‑19,97,36,77,-6,10,19,198,22,20,83,2015,Solo
Barcelona,George Ezra,folk-pop,2014,2021‑08‑09,94,57,63,-9,11,18,189,32,3,70,2015,Solo
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,2020‑06‑22,95,52,68,-6,11,18,230,12,14,77,2015,Duo
The Hills,The Weeknd,canadian contemporary r&b,2015,2020‑06‑19,113,56,59,-7,14,14,242,7,5,88,2015,Solo
Antidote,Travis Scott,hip hop,2015,2020‑06‑19,131,53,71,-5,12,13,263,1,3,78,2015,Solo
Talking Body,Tove Lo,art pop,2014,2020‑06‑19,120,76,74,-5,8,11,238,10,3,71,2015,Solo
High By The Beach,Lana Del Rey,art pop,2015,2021‑08‑09,132,49,54,-11,12,10,258,24,3,71,2015,Solo
Cake By The Ocean,DNCE,dance pop,2016,2020‑06‑08,119,75,77,-5,4,90,219,15,5,84,2016,Band/Group
Good Grief,Bastille,metropopolis,2016,2021‑08‑09,120,76,73,-5,31,88,206,15,7,70,2016,Band/Group
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,dance pop,2016,2020‑06‑08,91,91,72,-3,14,87,200,9,10,72,2016,Solo
Alarm,Anne-Marie,dance pop,2016,2020‑06‑08,147,59,76,-5,18,81,206,8,23,62,2016,Solo
No Money,Galantis,dance pop,2016,2020‑06‑08,126,92,67,-4,24,80,189,3,4,72,2016,Duo
Shout Out to My Ex,Little Mix,dance pop,2016,2020‑06‑08,126,75,77,-4,11,80,246,2,9,81,2016,Band/Group
History,One Direction,boy band,2015,2020‑06‑08,87,70,66,-4,6,80,187,4,5,77,2016,Band/Group
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,dance pop,2016,2020‑06‑08,95,79,69,-5,5,76,211,2,5,67,2016,Band/Group
Treat You Better,Shawn Mendes,canadian pop,2017,2020‑06‑08,83,82,44,-4,11,75,188,11,34,86,2016,Solo
My House,Flo Rida,dance pop,2015,2020‑06‑08,94,70,69,-5,13,74,192,2,5,81,2016,Solo
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016,2020‑06‑08,169,79,50,-4,65,74,243,26,32,80,2016,Solo
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2015,2020‑06‑08,114,76,69,-5,15,74,224,10,9,77,2016,Solo
Not Nice,PARTYNEXTDOOR,pop,2016,2020‑06‑08,128,50,60,-9,12,73,203,3,8,67,2016,Solo
The Greatest (feat. Kendrick Lamar),Sia,australian dance,2016,2020‑06‑08,192,73,67,-6,6,73,210,1,27,73,2016,Solo
Cheap Thrills (feat. Sean Paul),Sia,australian dance,2016,2020‑06‑08,90,80,59,-5,8,73,225,6,22,73,2016,Solo
Back To Sleep,Chris Brown,dance pop,2015,2020‑06‑08,93,65,65,-5,9,72,201,4,24,65,2016,Solo
Love Me Now,John Legend,neo soul,2016,2020‑06‑08,123,77,42,-4,11,72,210,57,9,59,2016,Solo
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,2020‑06‑08,102,71,66,-7,8,71,198,4,11,81,2016,Solo
Sweet Lovin' - Radio Edit,Sigala,dance pop,2018,2020‑06‑08,125,85,68,-3,34,71,202,21,7,69,2016,Solo
Perfect Strangers,Jonas Blue,dance pop,2018,2020‑06‑08,118,86,73,-4,21,70,197,39,5,80,2016,Solo
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,2020‑06‑08,113,83,67,-6,10,70,238,1,7,77,2016,Solo
NO,Meghan Trainor,dance pop,2017,2020‑06‑08,92,80,56,-4,74,66,214,1,21,75,2016,Solo
Closer,The Chainsmokers,dance pop,2016,2020‑06‑08,95,52,75,-6,11,66,245,41,3,88,2016,Duo
Side To Side,Ariana Grande,dance pop,2016,2020‑06‑08,159,74,65,-6,24,61,226,5,23,72,2016,Solo
You & Me,Marc E. Bassy,pop,2017,2020‑06‑08,84,64,45,-8,19,61,218,4,28,69,2016,Solo
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,2020‑06‑08,105,59,80,-6,6,59,214,10,4,81,2016,Band/Group
Send My Love (To Your New Lover),Adele,british soul,2015,2020‑06‑08,164,53,69,-8,17,57,223,4,9,77,2016,Solo
Ophelia,The Lumineers,folk-pop,2016,2020‑06‑08,76,57,66,-7,9,57,160,61,3,79,2016,Band/Group
Work,Rihanna,barbadian pop,2016,2020‑06‑08,92,53,73,-6,9,56,219,8,9,80,2016,Solo
Pink + White,Frank Ocean,alternative r&b,2016,2020‑06‑08,160,55,54,-7,42,55,185,67,10,84,2016,Solo
Fast Car,Jonas Blue,dance pop,2018,2020‑06‑08,114,58,67,-7,31,55,212,47,6,77,2016,Solo
The Sound,The 1975,modern alternative rock,2016,2021‑08‑09,121,94,65,-5,45,55,249,9,8,63,2016,Band/Group
My Way,Calvin Harris,dance pop,2016,2020‑06‑08,120,91,82,-3,16,54,219,9,4,78,2016,Solo
"Sit Still, Look Pretty",Daya,alt z,2016,2020‑06‑08,182,74,66,-4,11,54,202,14,27,76,2016,Solo
History,Olivia Holt,alt z,2016,2020‑06‑08,101,63,77,-7,12,54,204,10,5,64,2016,Solo
Girls Like (feat. Zara Larsson),Tinie Tempah,dance pop,2016,2020‑06‑08,120,80,92,-3,8,54,196,37,5,67,2016,Solo
Adventure of a Lifetime,Coldplay,permanent wave,2015,2020‑06‑08,112,92,64,-4,15,53,264,0,4,79,2016,Band/Group
Hotter Than Hell,Dua Lipa,dance pop,2017,2020‑06‑08,110,87,53,-4,6,53,188,1,9,70,2016,Solo
Renegades,X Ambassadors,modern alternative rock,2015,2021‑05‑06,90,86,53,-6,23,53,195,1,9,80,2016,Band/Group
Love Yourself,Justin Bieber,canadian pop,2015,2020‑06‑08,100,38,61,-10,28,52,234,84,44,87,2016,Solo
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,2020‑06‑29,163,70,63,-6,11,52,215,1,15,73,2016,Solo
Starving,Hailee Steinfeld,dance pop,2016,2020‑06‑08,100,62,73,-4,11,51,182,38,6,81,2016,Solo
Cold Water,Major Lazer,dance pop,2016,2020‑06‑08,93,80,61,-5,16,50,185,7,4,72,2016,Trio
Starboy,The Weeknd,canadian contemporary r&b,2016,2020‑06‑08,186,59,68,-7,14,49,230,14,28,88,2016,Solo
Can I Be Him,James Arthur,pop,2016,2020‑06‑08,108,54,70,-6,9,48,247,31,5,80,2016,Solo
Stole the Show,Kygo,edm,2016,2020‑06‑08,100,64,64,-8,32,48,223,27,23,78,2016,Solo
This Is What You Came For (feat. Rihanna),Calvin Harris,dance pop,2016,2020‑06‑08,124,93,63,-3,15,47,222,20,3,84,2016,Solo
One Call Away,Charlie Puth,dance pop,2016,2020‑06‑08,91,61,67,-5,12,47,194,40,3,70,2016,Solo
Hands To Myself,Selena Gomez,dance pop,2015,2020‑06‑08,111,50,81,-7,34,47,201,1,12,68,2016,Solo
Somebody Else,The 1975,modern alternative rock,2016,2020‑06‑08,101,79,61,-6,15,47,348,20,6,76,2016,Band/Group
Hide Away,Daya,alt z,2016,2020‑06‑08,95,80,89,-5,7,46,192,23,8,72,2016,Solo
Same Old Love,Selena Gomez,dance pop,2015,2020‑06‑08,98,59,67,-4,21,44,229,2,3,70,2016,Solo
PILLOWTALK,ZAYN,dance pop,2016,2020‑06‑08,125,70,58,-4,9,44,203,12,5,82,2016,Solo
Hurts So Good,Astrid S,alt z,2021,2020‑06‑08,120,63,67,-5,9,42,209,8,5,77,2016,Solo
Alone,Marshmello,brostep,2016,2021‑08‑17,142,95,63,-4,11,42,274,2,3,76,2016,Solo
Don't Let Me Down,The Chainsmokers,dance pop,2016,2020‑06‑08,160,87,53,-5,14,42,208,16,17,83,2016,Duo
Hymn for the Weekend,Coldplay,permanent wave,2015,2020‑06‑08,90,69,49,-6,33,41,258,21,4,86,2016,Band/Group
Sorry,Justin Bieber,canadian pop,2015,2020‑06‑08,100,76,65,-4,30,41,201,8,5,85,2016,Solo
Gold,Kiiara,alt z,2020,2020‑06‑08,113,41,60,-9,13,41,226,62,34,64,2016,Solo
Too Good,Drake,canadian hip hop,2016,2020‑06‑08,118,65,79,-8,10,40,263,5,10,78,2016,Solo
Close,Nick Jonas,dance pop,2016,2020‑06‑08,124,62,65,-5,14,40,234,25,8,74,2016,Solo
"Me, Myself & I",G-Eazy,indie pop rap,2015,2020‑06‑08,112,67,76,-7,16,39,251,2,10,82,2016,Solo
Just Hold On,Steve Aoki,dance pop,2018,2020‑06‑08,115,93,65,-4,6,39,199,0,8,61,2016,Solo
Stay (feat. Maty Noyes),Kygo,edm,2015,2020‑06‑08,103,74,65,-8,17,38,239,4,4,65,2016,Solo
Into You,Ariana Grande,dance pop,2016,2020‑06‑08,108,73,62,-6,14,37,244,2,11,73,2016,Solo
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,big room,2016,2020‑06‑08,110,92,37,-3,9,37,207,0,5,72,2016,Solo
Sorry,Beyoncé,dance pop,2016,2020‑08‑11,130,60,78,-7,25,36,233,0,5,72,2016,Solo
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,2020‑06‑08,100,56,73,-8,18,35,218,62,13,73,2016,Solo
When You Love Someone,James TW,neo mellow,2019,2020‑06‑08,126,45,68,-6,5,35,217,26,3,79,2016,Solo
Wherever I Go,OneRepublic,dance pop,2016,2021‑11‑25,100,68,54,-6,24,35,170,10,4,68,2016,Band/Group
Lost Boy,Ruth B.,alt z,2015,2020‑06‑08,124,6,71,-15,9,35,275,97,5,77,2016,Solo
Once In a While,Timeflies,dance pop,2016,2020‑06‑25,105,69,79,-6,62,35,215,1,14,65,2016,Duo
7 Years,Lukas Graham,danish pop,2016,2020‑06‑08,120,47,77,-6,39,34,237,29,5,83,2016,Band/Group
Roses,The Chainsmokers,dance pop,2015,2020‑06‑08,100,80,71,-7,31,34,227,4,6,78,2016,Duo
Here,Alessia Cara,canadian contemporary r&b,2015,2020‑06‑08,120,82,38,-4,8,33,199,8,10,71,2016,Solo
Tears (feat. Louisa Johnson),Clean Bandit,dance pop,2016,2020‑06‑08,130,77,61,-4,16,30,226,4,4,65,2016,Band/Group
Needed Me,Rihanna,barbadian pop,2016,2020‑06‑08,111,31,67,-8,8,30,192,11,24,84,2016,Solo
Hello,Adele,british soul,2015,2020‑06‑08,79,43,58,-6,9,29,296,33,3,77,2016,Solo
Dangerous Woman,Ariana Grande,dance pop,2016,2020‑06‑08,134,60,66,-5,36,29,236,5,4,72,2016,Solo
Exchange,Bryson Tiller,kentucky hip hop,2015,2020‑06‑08,160,43,53,-11,14,28,195,11,19,81,2016,Solo
Never Forget You,Zara Larsson,dance pop,2017,2020‑06‑08,146,73,58,-6,27,28,213,0,5,78,2016,Solo
When We Were Young,Adele,british soul,2015,2020‑06‑08,144,60,38,-6,10,27,291,30,5,79,2016,Solo
Say It (feat. Tove Lo),Flume,australian dance,2016,2020‑06‑29,75,53,60,-7,6,26,263,7,3,64,2016,Solo
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2016,2020‑06‑08,186,64,33,-6,6,26,201,16,9,74,2016,Solo
Final Song,MØ,art pop,2016,2020‑06‑08,105,67,70,-6,8,25,236,1,3,70,2016,Solo
Dancing On My Own,Calum Scott,neo mellow,2018,2020‑06‑08,113,17,68,-9,10,23,260,84,3,84,2016,Solo
Dangerously,Charlie Puth,dance pop,2016,2021‑08‑17,112,52,70,-8,20,23,199,36,4,58,2016,Solo
Middle,DJ Snake,dance pop,2016,2020‑06‑25,105,70,58,-5,5,22,221,1,4,79,2016,Solo
Sex,Cheat Codes,dance pop,2016,2020‑06‑08,102,69,51,-6,14,21,228,0,17,66,2016,Trio
This Town,Niall Horan,dance pop,2016,2020‑06‑08,112,41,68,-8,12,20,233,70,3,64,2016,Solo
Cool Girl,Tove Lo,art pop,2016,2020‑06‑08,102,69,67,-7,8,20,199,31,11,69,2016,Solo
Unsteady,X Ambassadors,modern alternative rock,2015,2020‑06‑08,117,67,39,-6,12,20,194,18,6,78,2016,Band/Group
Don't,Bryson Tiller,kentucky hip hop,2015,2020‑08‑11,97,36,77,-6,10,19,198,22,20,83,2016,Solo
The Ocean (feat. Shy Martin),Mike Perry,dance pop,2016,2020‑06‑08,90,57,63,-6,10,19,183,2,3,75,2016,Solo
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,electropop,2016,2020‑06‑08,93,28,49,-13,10,18,251,69,30,82,2016,Solo
Alaska,Maggie Rogers,indie pop,2019,2021‑08‑09,104,39,85,-11,11,18,188,41,5,70,2016,Solo
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,2020‑06‑08,95,52,68,-6,11,18,230,12,14,77,2016,Duo
In the Name of Love,Martin Garrix,dance pop,2016,2020‑06‑08,134,52,50,-6,45,17,196,11,4,81,2016,Solo
Let Me Love You,DJ Snake,dance pop,2016,2020‑06‑08,100,72,65,-5,14,16,206,9,3,86,2016,Solo
Low Life (feat. The Weeknd),Future,atl hip hop,2016,2020‑06‑08,144,33,72,-8,15,10,314,34,7,78,2016,Solo
Shape of You,Ed Sheeran,pop,2017,2021‑01‑28,96,65,83,-3,9,93,234,58,8,89,2017,Solo
Sorry Not Sorry,Demi Lovato,dance pop,2017,2021‑01‑28,144,64,71,-7,26,89,204,2,23,81,2017,Solo
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,2017,2021‑01‑28,101,75,89,-3,9,87,223,6,6,81,2017,Solo
That's What I Like,Bruno Mars,dance pop,2016,2021‑01‑28,134,56,85,-5,9,86,207,1,4,86,2017,Solo
Slow Hands,Niall Horan,dance pop,2017,2021‑01‑28,86,43,74,-7,6,85,188,1,5,79,2017,Solo
Despacito,Luis Fonsi,latin,2019,2021‑01‑28,178,80,66,-5,7,84,229,20,15,83,2017,Solo
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,2021‑01‑28,81,67,60,-4,13,82,289,5,4,70,2017,Solo
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,melodic rap,2017,2021‑01‑28,129,81,84,-5,12,81,209,50,6,79,2017,Solo
Rolex,Ayo & Teo,social media pop,2017,2021‑01‑28,145,89,80,-3,27,79,239,8,4,73,2017,Duo
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,2021‑01‑28,126,59,80,-7,15,78,213,26,9,85,2017,Solo
Juju on That Beat (TZ Anthem),Zay Hilfigerrr,hip hop,2016,2021‑01‑28,161,89,81,-4,39,78,144,0,28,62,2017,Solo
Slippery (feat. Gucci Mane),Migos,atl hip hop,2017,2021‑01‑28,142,68,92,-6,10,75,304,31,26,74,2017,Trio
Feel It Still,Portugal. The Man,indie rock,2017,2021‑01‑28,79,80,80,-5,7,75,163,4,5,81,2017,Band/Group
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2016,2021‑01‑28,102,76,72,-4,18,74,251,41,5,80,2017,Band/Group
Unforgettable,French Montana,gangster rap,2017,2021‑01‑28,98,77,73,-5,10,73,234,3,12,86,2017,Solo
Caroline,Aminé,hip hop,2017,2021‑01‑28,120,34,94,-10,26,71,210,17,51,80,2017,Solo
Broccoli,Shelley FKA DRAM,alternative r&b,2016,2021‑01‑28,146,53,89,-7,6,71,225,24,13,64,2017,Solo
Weak,AJR,modern rock,2017,2021‑01‑28,124,64,67,-5,19,70,201,12,5,71,2017,Trio
Gucci Gang,Lil Pump,emo rap,2017,2021‑01‑28,120,52,94,-7,12,70,124,24,6,69,2017,Solo
Believer,Imagine Dragons,modern rock,2017,2021‑01‑28,125,78,78,-4,8,67,204,6,13,91,2017,Band/Group
